Date,company name,open,high,low,volume,closing,avg_price_1,avg_volume_26,std_price_27,ROC_30,gold,Economic indicators: inflation rates,Econmic indicators: interest rates,"Financial updates: Company-specific quarterly, annual, or monthly financial performance reports or statements","Financial: Capital raising activities such as public offerings, loan or lease arrangements, and private placements",Financial:Dividend Declared,Financial: Annual and quater meetings,Technical: Discovery of gold,Operational: Expansion of mining operations (including M & A),Operational: Opening or clouser of mining,Operational updates: Changes in production output or efficiency,Operational: changes in key management positions,"Regulatory:  updates on lawsuits or penalties, Comply with regulatory standards sustainablity and corporate governance",Regulatory: Approval or rejection of mining permits & licenses,Geopolitical events: Political instability or conflicts
1/1/2023,Newmont Corporation,0.889574543,0.765344238,0.815628856,-0.802245219,0.790777932,0,0,0,0.1997043,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Agnico Eagle Mine,0.281464366,0.177356129,0.27952332,-0.643419481,0.225654171,0,0,0,-0.018534719,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Barrick Gold Cor,0.041759844,-0.072758275,-0.007123923,-0.593390646,-0.056910943,0,0,0,0.027247319,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Wheaton Precious Metals Corp.,-1.646941612,-1.806427971,-1.800696466,-0.24258666,-1.885274405,0,0,0,-0.149128218,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Franco-Nevada Corporation,-0.054141305,-0.172040709,-0.11488728,-0.592186986,-0.130543348,0,0,0,0.276607587,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Gold Fields Limited,-1.484437841,-1.546364758,-1.543426582,-0.566996239,-1.571868712,0,0,0,-0.19329093,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,AngloGold Ashant,-0.357085874,-0.404911621,-0.349963181,-1.08847769,-0.354427962,0,0,0,0.009313705,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Kinross Gold Corporation,-1.356688387,-1.464215302,-1.386521291,-1.091370489,-1.433661921,0,0,0,-0.230375986,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Alamos Gold Inc.,-1.849519084,-1.947750859,-1.826766205,-0.359993363,-1.876875035,0,0,0,-0.260735719,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2023,Harmony Gold Mining Company Limited,-1.203959289,-1.252453845,-1.271859069,-0.469751495,-1.246414664,0,0,0,-0.331205715,-2.037626421,1.949617425283261,-2.052406955,0,0,0,0,0,0,0,0,0,0,0,0
